text,stance
"నరేంద్ర మోదీగారు మళ్లీ మళ్లీ PM గా రావలసిందే ! దేశ ప్రజలకు భవిశ్యత్లో ఏది మంచిదో దానిని నిర్భయంగా చేశేస్తారు ! "" ఇటువంటి నాయకుడు మరొకరు లేరు "" ________________________________ underline it",favour
తెలుగోళ్ళకి బాండ్ బాగా వేసి....తెలుగులో మాట్లాడితే నమ్మక్కర్లేదు మోదీ జీ,favour
దేశం ఇప్పుడు మంచి దమ్ము ఉన్న నాయకుడి చేతి లో ఉంది మనం భయపడేది ఏమి లేదు... ఒక చిన్న ఓటు వేసి అతని చేతుల్లో దేశాన్ని పెట్టడం తప్ప...,favour
భారత్ మాతా కి జై,favour
వీడు భారత్ మాత కి ఒక్క చేతితో జై కొట్టి మరొక చేతితో వెన్ను పోటు పొదవడం వీడి నైజం,against
భారత్ మాతా కీ జై జై జవాన్ జై కిసాన్ జై శ్రీ రామ్ జై హింద్,neutral
. జై జై శ్రీరామ్ జై జై మెది,favour
Uttha మాటలే కానీ గట్టి పనులు ఎక్కడచేశవయ్య మోడీ గారు ప్రజలు నమ్మర్రు అందత్రలో మీకు ఎవ్వరూ ఓటు వేయరు,against
మోడీ గారికి నమస్కారములు తెలుగులో బాగా మాట్లాడుతున్నారు,favour
తిరుపతి వెంకన్న సాక్షిగా మోడీ ప్రత్యేక హోదా ఇస్తా ఆని చెప్పి ఆంధ్రా ప్రజలకి చేసిన మోసాన్ని రాష్త్ర ప్రజలు ఎప్పటికీ మర్చిపోరు..,against
లక్ష్మి నరసింహ స్వామి గారు కాదు స్వామి వారు,neutral
జయచేసి సహాయం చేయరీ సార్,neutral
నాపేరు పిచలయ్య నేను కోవెట్లో వున్నాను నాను ఇంటికి పాపటంలేదు సాల ఇబ్బంది పడుతుబానుసారు,neutral
మోడీ జిందాబాద్,favour
తెలుగునికొడా తెలుగులొకి తర్జుమ చెస్తుంది మహాతల్లి.,against
జై భారత్ మాతా కీ జై,favour
ముందు రైతులు నడి రోడ్డు మీద ఉన్నారు. 2020 రైతు వ్యతిరేక చట్టాలు రద్దు చేయాలి.,neutral
నిజంగా మీరు తెలుగులో మాట్లాడడం ఎంతో సంతోషంగా ఉంది సార్ ఎన్ని భాషల్లో మాట్లాడినా మనమందరం భారతీయులం భారత్ మాతా కీ జై,favour
dhakshina ఆంధ్ర ki nee అబ్బ chesthaaaraa?,against
Nee scene అయిపోయింది నాన్న,against
తెలంగాణలో ఔట్ సోర్సింగ్ ఉద్యోగులు విద్యార్థులు కూడా చాలా మంది మహిళలు అధిక బాధ లు. పడుతుంటే కెసిఆర్ ని ద్రపోతున్నడు,against
జై మోడీ,favour
సూపర్ మోడీ,favour
అందరు ఇలాగే భారతీయలను మోసం చేస్తున్నారు చ్చి,against
అ చ్ ఆ హై,neutral
తెలుగు బాష లో mataldatam గొప్ప విషయమే కాని తెలుగు రాష్ట్రంలకు సహాయం చేసి ఇలా matlithe ఇంకా బాగుంటుంది మాటలు కడుపు nimpavu కదా మోడీ,against
Jai మోడీ జి,favour
పుత్తి దెంగించుకో మోడీ,against
నీ బొంద... వేస్ట్ గాడు,against
సార్ మీరు నిజగా బాహుబలి సూపర్,favour
జైబిజెపి జయహోభారతియ జనాతపార్టి మోదిజైశీరామ్డి.రవినాయక్,favour
బ్రిటిష్ ఓడూ వచ్చీ ముచేటేసినట్టు ఉంది... మోడీ మాదిగ...,against
చంద్రబాబు తెచ్చిన దానిమీద నరేంద్రుడి మాట,against
వీడు ఒక్క దొంగ అన్ని బాసలు మాట్లాడతాడు,against
వీడు ఒక్క దొంగ అన్ని బాసలు మాట్లాడతాడు,against
సూపర్ మాట్లాడినావ్ గురువు గారు,favour
జై మోడీ,favour
జై జై జై భారత్ మాతాకి జై,favour
అబ్బా సూపర్ సార్ తెలుగు జై బిజెపి జై మోడీజీ మీకు పాదాభివందనం,favour
మొాది సార్ మీరు తేలుగు లో మాటలు ఇనపుడు మా ఓలుపులకరిది సార్ మీరు ప్రతీసరి ఒకసరి తేలుగు లో మాటడఢంసార్,favour
సూపర్ sir thank you,favour
