text,stance
Vande Bharat Express లో ప్రయాణం చేశా but 3 hours late గ వచ్చింది,against
సూపర్ వందే భరత్ ట్రైన్ బాగుంది జర్నీ సూపర్,favour
మనల్ని modi bakara లన చేస్తున్నాడు అసలు gatimaan express కంటే ఫాస్ట్ గా వెళుతుందా vande Bharath ayina kosaru ichi manaki esaru peduthunaru,against
సూపర్,favour
నార్మల్ రైల్ లకు కుడా స్టాప్ లు తగ్గిస్తే యావరేజ్ స్పీడ్ రెండు రైలకి ఒకటే వుంటుంది. పెద్ద తేడా ఏమి వుండదు ... సమాన్యుడికి పెద్దగా ఉపయోగం లేదు ఈ రైలు . సాదారణ రైలకు జనరల్ బోగీలు పెంచితే బాగుంటుంది. కొత్త రైలు మార్గాలు మరియు కొత్త రైలు వెయాలి కాని ఇలాంటి పనికి మాలిన పనులు చెయొదూ అని ప్రభూత్వానికి మనవి.,against
ఫైర్ సేఫ్టీ వుందా,neutral
ఒకసారి ఆలోచించండి వందే భారత్ ఎక్ష్ప్రెస్స్ వంచింది. కానీ అది సామాన్యులు పేద మధ్యతరగతి వాళ్ళు ప్రయాణించలేనంతగా టికెట్ ధరలు ఉన్నాయి.,against
అన్నా ఒక్క 2mins alochisdaam విజయవా to లింగంపల్లి ki evening 5:30 కి వచ్చే employees train night ki 9:30 ki secunderab వస్తుంది. అంటే 4 hours because of non stop stages e train kuda 130 speed reach అవుతుంది. E vandhe భారత train పర్పస్ ఏంటో మనం తెలుసుకోవాలి. Naku తెలిసి......,against
వందే భారత్ కన్నా ఇంకొక ఫాస్టెస్ట్ జర్నీ ఉంది (8h 30min = 24min) అదే  నేను ట్రైన్లో జర్నీ చేసినట్లుగా చాలా హ్యాపీగా ఫీల్ అయ్యాను. వీడియో పూర్తిగా చూసాను. చాలా బాగుంది.,favour
 it's a ప్రైవేట్ ట్రైన్ ,against
దేశంలో ఎంత మంది పిచ్చ.... ఉన్నరో తెలుస్తుంది...,against
జై భారత్,favour
ఈ వీడియో చాలా బాగుంది నేను ఎక్కడ స్కిప్ చెయ్యలేదు actually నేను పెద్ద వీడియోస్ కి స్కిప్ చేస్తుంటాను కానీ ఈ వీడియో కి స్కిప్ చెయ్యలేదు అందుకు అర్థం చేసుకోండి వీడియో ఎంత బాగుందో.....,neutral
 రైల్వే ఇంకా ఇంకా ఉన్నత శిఖరాలను అందుకోవాలని కోరుకుందాం వందే భారత్ పేరు చాలా బాగుంది జై భారత్ జైశ్రీరామ్ జై మోది,favour
విదేశీ తెక్నాలిజి మన నుండి దొంగలించిన వే టా లెంటికి కొదవలేదు మన దేశంలో అవకాశం ఇస్తే మనా యువత ఏదైనా సాధించగలరు మొదిలాంటి గట్స్ ఉన్న నాయకులు రావాలి మనకు జై భారత్ జైశ్రీరామ్ జై మోది,against
నేను చూస్తున 24 నిమిషాల వీడియోకి 4 ప్రకటనలు వచ్చాయి,neutral
" ఐతే ఐతే, avasaram ledu",against
ఇంతకు ఆ అంకుల్ విజయవాడ లో ఐనా దిగిపోయాడా బ్రో లేక cc coach ఫోటో తీస్కుందామని ఆగి మళ్ళీ ఉండిపోయాడా,against
"మాట మాటకు అయితే అయితే అయితే అయితే అని వంద సార్లు అనాలా, అయితే వాడకుండా ఉంటే బాగుండేది",neutral
కంగ్రాట్స్ బ్రదర్ 1 మీలి యిన్ వ్యూస్ బెస్ట్ అఫ్ లక్,neutral
"ప్రతి దానికీ ""అయితే"", ""అయితే"", అనడం అవసరమాండీ?",against
ఎప్పుడు ఎప్పుడు వీడియో రికార్డ్ చేసి  చేస్తావా అని చూస్తున్నా ఫైనల్ గా చూసా వీడియో లో ఉన్న వ్యక్తి కి ఈ కామెంట్,favour
కొత్త లో అంతే ఉంటుంది లే బ్రో,against
ముఖ్యంగా భారత గవర్నమెంట్ ని ఆంధ్ర తెలంగాణ తరఫున ధన్యవాదాలు,favour
సర్ తత్కాల్ టికెట్స్ అవకాశం వుంటాదా,neutral
త్వరలో ఆ గ్రహాల శక్తులు అన్నీ విడిపోయి ,neutral
బ్రో నువ్వు చెప్పినట్టు మన దక్షిణ భారత్ వంటలు పెట్టాలి అంత కాస్ట్ తీసుకొని ఇంత వందేభారత్ బండి కూడ విజయవాడ ఖమ్మం మధ్యలో ఎందుకో అంత లెట్ ప్రెస్టేజెస్ ట్రైన్ కదా,against
రాజమండ్రి నుంచి సికింద్రాబాద్ టికెట్ఎంత బ్రో,neutral
ఏంటి బ్రో వైజాగ్ to సికింద్రాబాద్ కి 24:18 మినిట్స్ లో వస్తే మీరు 8 :00 hours పడుతుంది అని చెప్తున్నారు,against
ఎవరు చేసారు భయ్యా ?,against
"వీడియో ఎంత ఎన్జాయ్ చేసానో, ఇంగ్లీష్ తర్జుమా అంతే బాగుంది..... చాలా నవ్వు వచ్చింది",favour
సూప్ ఎలా ఉంది బ్రో ?,favour
మొట్టమొదటి ఫ్రీ ట్రావెలర్ లేదా మొదటి పేనాలిటి కట్టిన‌ వ్యక్తి రాజమండ్రిలో మన‌‌ ఆంధ్ర వాడు అని గర్వంగా చెప్పుకుందాం...,favour
సూపర్ తమ్ముడు,favour
విజయవాడ ఖమ్మం మధ్యలో రైల్వే ట్రాక్ వర్క్ జరుగుతున్నది. అందువలన ఆలస్యం అయినది అను కుంటాను. మిత్రమా warangal not varangal.,favour
మన ఇండియా ఇలాగే డెవలప్మెంట్ అవ్వాలని మనస్ఫూర్తిగా కోరుకుంటున్నానుజై ఇండియాజై జవాన్,favour
టికెట్స్ కాస్ట్ వివరణ కావాలి బ్రో,favour
అన్నా ఈ video నువ్వు tisava,favour
జై హింద్ జై మోడీ,favour
Ap కానిస్టేబుల్ ప్రిలిమ్స్ ఎగ్జామ్ లో ఈ ట్రైన్ కు సంబంధించిన ఒక కోశ్చన్ పక్క గా అడుగుతారు,favour
ఎవరన్నా ఇరుక్కున్న మనిషి. ....ఎక్కడ దిగాడు,favour
నేను trolls చూసి వచ్చిన,favour
"ఐతే, ఐతే, ఐతే అని చాలా సర్లు అంటున్నరు. కొంచెం మార్చండి. వీడియో చాల బాగుంది.",favour
బాగా తీసావు భయ్యా,favour
"నీ పబ్లిసిటీ ట్రైన్ గురించి బాగుంది. ఒక సంవత్సరం తరువాత తెలుస్తది, cleanness, మెయింటనెయన్స్, కేటరింగ్, టైం షెడ్యూల్ ఎలా ఉంది అనేది.",favour
"కాకి ముక్కుకి దొండపాందులాగా ఈ జనాలకి దొరికింది, selfie రాజాలు ఇక రెచ్చి పోతున్నారు",favour
అన్న మీ. వీడియో చాల చాల బాగుంది చక్కగా వివరించారు చాల సంతోషం మంగళగిరి నవులూరు.,favour
ఐతే,favour
చాలా బాగా వివరించారు..,against
తుని ష్టాప్ ఉంటే బాగున్ను,against
