text,stance
జగనన్న ఏమి చేసినా న్యాయబద్ధంగా చట్టబద్ధంగా వుండేలా చేస్తాడుప్రజలలో 70% మంది జగనన్న వెంటే వున్నారు,favour
T d p y c p ఈ ద్దురు కలిసి అమరావతి నీ నాశనం చేసిరు,against
Grete cm sir. మరో హైదరాబద్,favour
వైజాగ్ is a big city. Swat city,favour
chettha cm jagan,against
1year loo రాజధాని తయారు అవుతుంద.,against
టివి9వారుఆడిదికుడవండి,neutral
గ్రాఫిక్స్ కమ్మరావతి ఎప్పటికీ AP కి రాజధాని కాలేదు.,favour
కోర్టు ధిక్కరణ అంటే మరి వెళ్లి కోర్టు లోనే తేల్చుకోండి మీడియా లో ఎందుకు గగ్గోలు పెట్టడం,neutral
గ్రాఫిక్స్ కమ్మరావతీ కంటే వైజాగ్ బెస్ట్,against
2024 లో జనాలకి ముడొచ్చి వై సి పి ని ఇంటికి పంపిస్తారు,against
మీ ఇష్టం వచ్చినట్టు చేసుకోండి త్వరగా,against
మీ సొల్లి అప్పదొరై మేరు ఎంత చూసినా రాజధాని అమరావతికి ఓకే మేరు ఎపుడో మరిచినా మల్లి బాబు మరావతికి మరస్త్డో ఓకే నెక్స్ట్ CM CBN 2024 okay,against
1 లేదు 3 లేవు 4 years time waste చేసిన మహా నాయకుడు జగన్ సార్.,against
"జై జగన్ జై ఆంధ్ర TDP, BJP, ని ఆంద్రప్రదేశ్ నుంచి తరిమి కొట్టా లి అమరావతి కమ్మరంవతీ",favour
Oka criminal ni venakesukosthunnaru meedhi oka Chanel ena. Ammeyyandra patrika kukkallara chi. Trp rating kosam ekkina పడుకుంటారు,against
రాష్ట్రం అంటే కేవలం ఒక ప్రాంతం అభివృద్ధి జరిగితే కాదు.. రాష్ట్రానికి అన్ని వైపులా అభివృద్ధి జరగాలి.. ఉమ్మడి ఆంధ్రప్రదేశ్ విషయం లో గతంలో జరిగిన తప్పు మరోసారి జరగకూడదు.. నేటి ఆంధ్రప్రదేశ్ కు 3 రాజధానులు ఎంతో అవసరం..,favour
