Comments,stance
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
"ఏపీ మహిళలకు గుడ్‌న్యూస్‌ 7894 లక్షల మందికి రూ6,419 కోట్లు",favour
"-లాభం లేదు""దిష్టి చుక్క పెట్టాలి సామి మీకు జగన్ ",against
ముత్తాత ఆస్తి రెండు ఎకరాలు ముని మనవడి దానం ఒకరోజు 33 లక్షలు 2020 అంటే ఇదేగా? భ్రమరావతి కళా సాకారం అయి…,neutral
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
మీ ప్రభుత్వం ఉన్నది తెలంగాణలో మీరెవ్వరు ఎవ్వరు చింతించకండి నష్టపోయిన పంటలకు ఎకరానికి రూ10 వేల నష్టపరిహారం ఇ…,neutral
చివరి సారి తన ఓటు వేసిన చంద్రం తరువాత ఎలాగో రాడు కదా,favour
నిన్న దాకా లో యువతస్థాయి డెవలప్మెంట్ అంటూ ప్రచారం జగన్ రెడ్డి బొమ్మతో సిమెన్స్ తన క్రెడిట్ అ…,favour
సిమెన్స్ ద్వారా అని ప్రచారం చేసుకున్నారు కదరా తెలంగాణ ఇండస్ట్రీలో జాబ్ వాళ్ళకి కూడా…,neutral
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
మీరే గెలిచారు సార్,favour
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
"ప్రధాని, సీఎం జగన్, కేసీఆర్ జాతకాలు బాగున్నాయి",favour
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇచ్చిన మాట తప్పడము ముఖ్యము,against
జగన్ పై ఫృథ్వీరాజ్ షాకింగ్ కామెంట్స్ 2024లో మళ్లీ ఇదే రిపీట్ అంటూ,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
AP MLC ఓటుహక్కు వినియోగించుకున్న సీఎం జగన్,favour
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
ఇంతకంటే అధికార దుర్వినియోగం ఎదన్నా ఉంటుందా,against
తన మంగమ్మ శపథం పక్కనపెట్టి అసెంబ్లీలో తన ఓటు హక్కును వినియోగించుకున్న చంద్రం,neutral
"forwarded ఆదాయం: అదానీకి వ్యయం: జనానికి, బ్యాంకులకు అవమానం: నెహ్రూకి రాజపూజ్యం: గుజరాతీ గుంపుకి బస్, బభ్రాజీమానం…",neutral
అరేయ్ ఎర్రిహూకా అదీ సాంఘిక సంక్షేమ హాస్టల్ మెనూ రా గబ్బునాయాల స్కూల్ మధ్యాహ్న భోజనం గురించి ఆర్డర్ ఉంటె పో…,against
టికెట్ లెస్  అప్పుడే పెడితే ఆ డబ్బులు ఎవరి జోబిలోకి పోయాయి ? ఏదైనా ఒక స్కూల్ లో ఈ ప్రోగ్రామ్ అప్పటికే ఉంది…,against
మొత్తం 175 ఎమ్మెల్యేలకు గాను ఇప్పటివరకు 171 మంది తమ ఓటు హక్కును వినియోగించుకున్నారు,favour
ఎమ్మెల్సీ ఎన్నికల వేళ అనూహ్య ట్విస్టులు చోటు చేసుకుంటున్నాయి …,neutral
రామ్ మనోహర్ లోహియా గారి సిద్ధాంతాలు అర్థం చేసుకోవాలి - JanaSena Shri,neutral
పెళ్ళాం శీలం ముఖ్యమా ఎమ్మెల్సీ ముఖ్యమా BolliNaidu నా పెళ్లాం పతివ్రత ఐతే కదా నాకు mlc ney ముఖ్యం,neutral
అసెంబ్లీ వద్ద బుల్ బుల్ బాలయ్య మంతనాలు,neutral
తెలుగుదేశం అతి తెలివి  ఇలాంటి vp పనులు చేసే 23 కి వచ్చారు  వసంత కృష్ణ ప్రసాద్ అసెంబ్లీ లోనే ఉన్నారు  ఇప్పుడే వ్యవసాయ శాఖ…,neutral
రేయ్ నీ అమ్మను దేంగా యూసర్ నేమ్ మార్చు జగనన్ను 420 అంటావా,favour
అత్యాధునిక సాంకేతికతతో వైయస్ఆర్ జగనన్న శాశ్వత భూహక్కు మరియు భూరక్ష పథకం కింద చేస్తున్న డిజిటల్ సర్వే ద్వారా గ్రామ…,favour
మంగమ్మ శపథం పక్కనపెట్టి అసెంబ్లీకి బయలుదేరిన చంద్రబాబు,neutral
వచ్చే ఎన్నికల్లో పరిటాల వాళ్ళు గెలిస్తే మీసం తీయించుకుంటా -- తోపుదుర్తి ప్రకాష్ రెడ్డి (రాప్తాడు ఎమ్మెల్యే),neutral
మనబడి నాడు-నేడు ద్వారా క్లాస్ రూమ్స్ మరమ్మతులకు ₹ కోటి 12 లక్షలు ఖర్చుపెట్టారు వైఎస్ జగన్ మోహన్Andhra Pr…,favour
ఎమ్మెల్యే కోటా ఎమ్మెల్సీ ఎన్నికలు ఓటేసిన వైఎస్ జగన్,favour
చంద్రబాబు పోయిండు జగన్ వంగిండు మోడీకి లొంగని ఏకైక పార్టీ కాబట్టే ఈడీ దాడి అసలు కుట్ర ఏంటో చె…,against
"తమ ఓటు హక్కు ఉపయోగించుకున్న వైసీపీ మంత్రులు, ఎమ్మెల్యేలు",favour
